(0.036621094+0.05810547j);(0.037597656-0.03125j)
(0.053710938+0.05029297j);(0.03515625-0.037597656j)
(0.048828125+0.04638672j);(0.036621094-0.040527344j)
(0.05078125+0.049316406j);(0.038085938-0.034179688j)
(0.044921875+0.053710938j);(0.037597656-0.03857422j)
(0.044921875+0.05029297j);(0.041015625-0.033203125j)
(0.044433594+0.059570312j);(0.040039062-0.03466797j)
(0.037109375+0.052734375j);(0.04248047-0.030761719j)
(0.041503906+0.0625j);(0.044433594-0.03125j)
(0.030273438+0.055664062j);(0.044433594-0.028320312j)
(0.038085938+0.0625j);(0.04638672-0.02734375j)
(0.025390625+0.06201172j);(0.044433594-0.026855469j)
(0.033691406+0.060058594j);(0.049804688-0.024902344j)
(0.020507812+0.068847656j);(0.045410156-0.022460938j)
(0.025390625+0.064453125j);(0.05078125-0.021484375j)
(0.018554688+0.0625j);(0.046875-0.018554688j)
(0.019042969+0.07128906j);(0.049804688-0.020507812j)
(0.012207031+0.061523438j);(0.052734375-0.014160156j)
(0.013183594+0.07128906j);(0.046875-0.017578125j)
(0.008300781+0.06298828j);(0.05419922-0.010253906j)
(0.0053710938+0.072753906j);(0.049804688-0.013183594j)
(0.0073242188+0.061035156j);(0.05419922-0.008300781j)
(-0.0024414062+0.071777344j);(0.05029297-0.0078125j)
(0.001953125+0.06738281j);(0.0546875-0.009277344j)
(-0.009765625+0.06591797j);(0.046875-0.0009765625j)
(-0.0034179688+0.0703125j);(0.05810547-0.0043945312j)
(-0.0126953125+0.064453125j);(0.046875+0.0009765625j)
(-0.009277344+0.06640625j);(0.053710938+0.001953125j)
(-0.020019531+0.064941406j);(0.05078125+0.0034179688j)
(-0.0126953125+0.06689453j);(0.052734375+0.0034179688j)
(-0.026367188+0.064453125j);(0.048828125+0.0087890625j)
(-0.017578125+0.061523438j);(0.05126953+0.005859375j)
(-0.028808594+0.06542969j);(0.05078125+0.011230469j)
(-0.028808594+0.05810547j);(0.04736328+0.009765625j)
(-0.026367188+0.059570312j);(0.05078125+0.015136719j)
(-0.037109375+0.061035156j);(0.045410156+0.0126953125j)
(-0.029785156+0.055664062j);(0.046875+0.020019531j)
(-0.04296875+0.057128906j);(0.048339844+0.017089844j)
(-0.033691406+0.0546875j);(0.044433594+0.017578125j)
(-0.045898438+0.05078125j);(0.04296875+0.026855469j)
(-0.0390625+0.053222656j);(0.04638672+0.018554688j)
(-0.046875+0.049316406j);(0.0390625+0.029785156j)
(-0.049316406+0.04638672j);(0.04296875+0.022460938j)
(-0.04638672+0.048828125j);(0.040527344+0.030273438j)
(-0.05419922+0.0390625j);(0.036132812+0.025878906j)
(-0.053222656+0.04345703j);(0.040527344+0.033203125j)
(-0.05078125+0.03515625j);(0.03515625+0.029785156j)
(-0.060058594+0.03857422j);(0.032714844+0.034179688j)
(-0.05419922+0.03125j);(0.037597656+0.034179688j)
(-0.06298828+0.033691406j);(0.027832031+0.033203125j)
(-0.05859375+0.029785156j);(0.032226562+0.040527344j)
(-0.0625+0.024414062j);(0.029296875+0.03173828j)
(-0.0625+0.026367188j);(0.024414062+0.043945312j)
(-0.0625+0.019042969j);(0.030273438+0.03515625j)
(-0.064453125+0.020507812j);(0.018066406+0.041503906j)
(-0.06689453+0.015136719j);(0.027832031+0.0390625j)
