(0.049316406-0.020507812j);(-0.01171875+0.040039062j)
(0.048339844-0.016113281j);(-0.012207031+0.037597656j)
(0.053710938-0.016601562j);(-0.017578125+0.037109375j)
(0.04638672-0.0107421875j);(-0.016113281+0.036132812j)
(0.057617188-0.015625j);(-0.016601562+0.03564453j)
(0.04638672-0.0043945312j);(-0.021484375+0.03466797j)
(0.055664062-0.0146484375j);(-0.018554688+0.032226562j)
(0.049316406+0.0029296875j);(-0.024414062+0.033203125j)
(0.0546875-0.0126953125j);(-0.025390625+0.027832031j)
(0.05078125+0.005859375j);(-0.022460938+0.03466797j)
(0.052734375-0.0043945312j);(-0.028808594+0.026367188j)
(0.053710938+0.0034179688j);(-0.026855469+0.029785156j)
(0.048339844+0.0034179688j);(-0.027832031+0.025390625j)
(0.056152344+0.0029296875j);(-0.030761719+0.025878906j)
(0.045898438+0.009765625j);(-0.030273438+0.023925781j)
(0.051757812+0.0068359375j);(-0.029296875+0.020996094j)
(0.051757812+0.0146484375j);(-0.033691406+0.021484375j)
(0.047851562+0.011230469j);(-0.033691406+0.020019531j)
(0.05029297+0.016113281j);(-0.03125+0.018066406j)
(0.04638672+0.017089844j);(-0.037597656+0.017089844j)
(0.048339844+0.020996094j);(-0.033203125+0.0146484375j)
(0.04248047+0.017578125j);(-0.036132812+0.014160156j)
(0.048339844+0.024902344j);(-0.036132812+0.01171875j)
(0.041015625+0.020996094j);(-0.037109375+0.010253906j)
(0.045898438+0.028320312j);(-0.03857422+0.0087890625j)
(0.038085938+0.024414062j);(-0.03857422+0.0068359375j)
(0.04248047+0.030273438j);(-0.03515625+0.0034179688j)
(0.038085938+0.028320312j);(-0.040039062+0.0068359375j)
(0.037597656+0.03173828j);(-0.037597656+0j)
(0.037109375+0.032714844j);(-0.038085938+0.00048828125j)
(0.03564453+0.03515625j);(-0.03857422-0.0024414062j)
(0.03125+0.034179688j);(-0.0390625-0.001953125j)
(0.032226562+0.038085938j);(-0.037109375-0.0048828125j)
(0.032226562+0.038085938j);(-0.036621094-0.009277344j)
