#Parameters = {Lp=28.7; Ls=53.9; Wavelength=2; WavelengthsNumber=2; Wf=2; Wp=39.6; Ws=60; connectorLine=2.6; feedline=10; h=1.61; tc=0.035; unionLine=60; y0=5}
#"Frequency / GHz"	"S1,1 (2) [Magnitude / dB]"
#---------------------------------------------
2.2516000270844	-3.5102616714430
2.2520000934601	-3.5241859546902
2.2523999214172	-3.5382196871644
2.2527999877930	-3.5523667268550
2.2532000541687	-3.5666280808233
2.2535998821259	-3.5810043835441
2.2539999485016	-3.5954995433117
2.2544000148773	-3.6101107725838
2.2548000812531	-3.6248438228215
2.2551999092102	-3.6396984679712
2.2555999755859	-3.6546778408085
2.2560000419617	-3.6697821550937
2.2564001083374	-3.6850125971117
2.2567999362946	-3.7003715424894
2.2572000026703	-3.7158618957555
2.2576000690460	-3.7314834422578
2.2579998970032	-3.7472382828947
2.2583999633789	-3.7631274604289
2.2588000297546	-3.7791538250302
2.2592000961304	-3.7953180307016
2.2595999240875	-3.8116225842078
2.2599999904633	-3.8280670980511
2.2604000568390	-3.8446546497223
2.2607998847961	-3.8613871300900
2.2611999511719	-3.8782663973548
2.2616000175476	-3.8952921494998
2.2620000839233	-3.9124670031642
2.2623999118805	-3.9297935133040
2.2627999782562	-3.9472714728388
2.2632000446320	-3.9649038608611
2.2636001110077	-3.9826917387617
2.2639999389648	-4.0006364437592
2.2644000053406	-4.0187408424513
2.2648000717163	-4.0370040126974
2.2651998996735	-4.0554297778974
2.2655999660492	-4.0740202192637
2.2660000324249	-4.0927736566422
2.2664000988007	-4.1116949286610
2.2667999267578	-4.1307847063737
2.2671999931335	-4.1500437982807
2.2676000595093	-4.1694737245411
2.2679998874664	-4.1890778864144
2.2683999538422	-4.2088554115029
2.2688000202179	-4.2288098068009
2.2692000865936	-4.2489427236521
2.2695999145508	-4.2692552752801
2.2699999809265	-4.2897467400828
2.2704000473022	-4.3104222064835
2.2708001136780	-4.3312807220879
2.2711999416351	-4.3523269523356
2.2716000080109	-4.3735609101103
2.2720000743866	-4.3949819434219
2.2723999023438	-4.4165954022198
2.2727999687195	-4.4384003932611
2.2732000350952	-4.4603997316707
2.2736001014709	-4.4825953547349
2.2739999294281	-4.5049883785008
2.2743999958038	-4.5275788922726
2.2748000621796	-4.5503704631406
2.2751998901367	-4.5733645951041
2.2755999565125	-4.5965634353209
2.2760000228882	-4.6199679537126
2.2764000892639	-4.6435798425299
2.2767999172211	-4.6674007586885
2.2771999835968	-4.6914314202717
2.2776000499725	-4.7156765012566
2.2780001163483	-4.7401341129431
2.2783999443054	-4.7648096322593
2.2788000106812	-4.7897026256156
2.2792000770569	-4.8148139718148
2.2795999050140	-4.8401474905976
2.2799999713898	-4.8657050813649
2.2804000377655	-4.8914866098954
2.2808001041412	-4.9174940628529
2.2811999320984	-4.9437312341096
2.2815999984741	-4.9701986250717
2.2820000648499	-4.9968992668695
2.2823998928070	-5.0238332302706
2.2827999591827	-5.0510032193179
2.2832000255585	-5.0784108920875
2.2836000919342	-5.1060599062674
